,bytes_in,bytes_out,
kernel_task.0,9350207363,15532209185,
launchd.1,0,0,
syslogd.366,0,741,
apsd.372,43837884,12901114,
nesessionmanage.379,0,0,
dhcp6d.398,0,0,
mDNSResponder.417,434147168,64924026,
airportd.425,0,0,
symptomsd.488,0,0,
lghub_updater.608,0,0,
O+Connect.655,48838,400727,
rapportd.656,5951078,48985538,
cloudd.657,5815,5120,
wifip2pd.661,0,0,
ControlCenter.663,0,0,
homed.679,0,0,
identityservice.687,16576,6195,
sharingd.698,0,0,
replicatord.734,0,0,
O+Connect Helpe.791,693820853,0,
netbiosd.889,1082093,3712,
O+Connect Servi.928,583634,642301,
node.998,321764,328415,
logioptionsplus.1002,102503,0,
moshi-hook.1007,2908790,162376,
postgres.1010,0,0,
bun.1019,228,8202,
clash-verge.1023,0,0,
Blip.1028,47316,26640,
Notion.1049,0,0,
AutoMounter.1085,0,220,
Atoll.1115,0,0,
lghub_agent.1536,1195300,136466,
Ollama.2232,0,0,
verge-mihomo.2322,0,0,
ollama.2381,0,0,
Notion Calendar.2432,43604,49303,
Adobe Desktop S.2608,0,0,
Creative Cloud .2637,12199,58099,
Slack Helper.2799,1585811,298512,
Tailscale.3013,133840720,330,
IPNExtension.3407,31960730,286405165,
Google Chrome H.7815,708383663,3753779,
WeChat.85956,6073642,3366025,
WeType.86350,16864758,33767517,
zed.5544,0,0,
steam_osx.43430,11431289,38755655,
Steam Helper.43481,35782093,149334,
Steam Helper.43489,39706443,39733034,
Spark Desktop H.33667,88922,27583,
WeChatAppEx Hel.79186,49211708,16032,
node.8280,0,0,
Google Drive.36380,44208,85115,
Discord Helper.7027,8668,4093,
Discord Helper .7035,136466,1195300,
WaveLinkMacOS.10753,0,0,
Codex (Service).82636,19548622,7081036,
codex.82787,174138,125700,
stable.39943,66463,82765,
Grok Bot.77191,404,1613,
Grok Bot Helper.87680,16980,3501,
Grok Bot.87686,55545,60749,
Spotify.80002,2356050,324318,
Spotify Helper.80011,5166895,5251253,
codex.88135,1497181,14439281,
codex.6720,16963722,100671545,
codex.29484,10938683,5037726,
remotepairingd.80664,3965,45900,
mosh-server.86318,65862,1681520,
CodexBar.15720,21228,10635,
Plex.87239,44557395,1404890,
clauth.25848,2044948,1735331,
clauth.25853,0,0,
2.1.258.29582,459133,24051168,
java.48551,0,0,
desktop.93868,437,46405,
com.apple.WebKi.94041,46405,437,
adb.10274,164,0,
java.55055,0,0,
Lark Helper.3422,163502,1905139,
codex.4322,6611091,3367341,
codex.28857,5648,16902,
2.1.259.13446,306974,7181538,
gh.37026,134461,6162,
gh.37027,146646,6702,
cloud-sql-proxy.38267,0,0,
Extension.42865,0,0,
,bytes_in,bytes_out,
kernel_task.0,2949774,2205094,
launchd.1,0,0,
syslogd.366,0,0,
apsd.372,0,0,
nesessionmanage.379,0,0,
dhcp6d.398,0,0,
mDNSResponder.417,12594,4188,
airportd.425,0,0,
symptomsd.488,0,0,
lghub_updater.608,0,0,
O+Connect.655,0,0,
rapportd.656,0,0,
cloudd.657,0,0,
wifip2pd.661,0,0,
ControlCenter.663,0,0,
homed.679,0,0,
identityservice.687,0,0,
sharingd.698,0,0,
replicatord.734,0,0,
O+Connect Helpe.791,6102,0,
netbiosd.889,0,0,
O+Connect Servi.928,53,53,
node.998,56,60,
logioptionsplus.1002,0,0,
moshi-hook.1007,0,0,
postgres.1010,0,0,
bun.1019,228,8204,
clash-verge.1023,0,0,
Blip.1028,0,74,
Notion.1049,0,0,
AutoMounter.1085,0,0,
Atoll.1115,0,0,
lghub_agent.1536,0,0,
Ollama.2232,0,0,
verge-mihomo.2322,0,0,
ollama.2381,0,0,
Notion Calendar.2432,0,0,
Adobe Desktop S.2608,0,0,
Creative Cloud .2637,0,0,
Slack Helper.2799,57,55,
Tailscale.3013,508,0,
IPNExtension.3407,9738,13632,
Google Chrome H.7815,6102,0,
WeChat.85956,740,398,
WeType.86350,0,0,
zed.5544,0,0,
steam_osx.43430,0,0,
Steam Helper.43481,4726,513,
Steam Helper.43489,0,0,
Spark Desktop H.33667,0,0,
WeChatAppEx Hel.79186,6102,0,
node.8280,0,0,
Google Drive.36380,0,0,
Discord Helper.7027,0,0,
Discord Helper .7035,0,0,
WaveLinkMacOS.10753,0,0,
Codex (Service).82636,0,0,
codex.82787,0,0,
stable.39943,0,0,
Grok Bot.77191,0,0,
Grok Bot Helper.87680,0,0,
Grok Bot.87686,0,0,
Spotify.80002,6285,0,
Spotify Helper.80011,0,0,
codex.88135,28,32,
codex.6720,2381,0,
codex.29484,0,0,
remotepairingd.80664,0,0,
mosh-server.86318,0,0,
CodexBar.15720,0,0,
Plex.87239,31,75,
clauth.25848,0,0,
clauth.25853,0,0,
2.1.258.29582,0,0,
java.48551,0,0,
desktop.93868,0,0,
com.apple.WebKi.94041,0,0,
adb.10274,0,0,
java.55055,0,0,
Lark Helper.3422,0,0,
codex.4322,2582,0,
codex.28857,0,0,
2.1.259.13446,0,0,
gh.37026,0,0,
gh.37027,0,0,
cloud-sql-proxy.38267,0,0,
Extension.42865,0,0,
,bytes_in,bytes_out,
kernel_task.0,700421,1934392,
launchd.1,0,0,
syslogd.366,0,0,
apsd.372,0,0,
nesessionmanage.379,0,0,
dhcp6d.398,0,0,
mDNSResponder.417,5654,90,
airportd.425,0,0,
symptomsd.488,0,0,
lghub_updater.608,0,0,
O+Connect.655,88,198,
rapportd.656,0,0,
cloudd.657,0,0,
wifip2pd.661,0,0,
ControlCenter.663,0,0,
homed.679,0,0,
identityservice.687,0,0,
sharingd.698,0,0,
replicatord.734,0,0,
O+Connect Helpe.791,6033,0,
netbiosd.889,0,0,
O+Connect Servi.928,0,0,
node.998,0,0,
logioptionsplus.1002,0,0,
moshi-hook.1007,0,0,
postgres.1010,0,0,
bun.1019,0,0,
clash-verge.1023,0,0,
Blip.1028,0,0,
Notion.1049,0,0,
AutoMounter.1085,0,0,
Atoll.1115,0,0,
lghub_agent.1536,0,0,
Ollama.2232,0,0,
verge-mihomo.2322,0,0,
ollama.2381,0,0,
Notion Calendar.2432,0,0,
Adobe Desktop S.2608,0,0,
Creative Cloud .2637,0,0,
Slack Helper.2799,0,0,
Tailscale.3013,0,0,
IPNExtension.3407,422,92,
Google Chrome H.7815,6033,0,
WeChat.85956,37,37,
WeType.86350,0,0,
zed.5544,0,0,
steam_osx.43430,0,0,
Steam Helper.43481,5319,513,
Steam Helper.43489,220,220,
Spark Desktop H.33667,0,0,
WeChatAppEx Hel.79186,6033,0,
node.8280,0,0,
Google Drive.36380,0,0,
Discord Helper.7027,0,0,
Discord Helper .7035,0,0,
WaveLinkMacOS.10753,0,0,
Codex (Service).82636,0,0,
codex.82787,0,0,
stable.39943,39,43,
Grok Bot.77191,0,0,
Grok Bot Helper.87680,0,0,
Grok Bot.87686,0,0,
Spotify.80002,8609,0,
Spotify Helper.80011,220,220,
codex.88135,0,0,
codex.6720,2629,0,
codex.29484,0,0,
remotepairingd.80664,0,0,
mosh-server.86318,0,0,
CodexBar.15720,0,0,
Plex.87239,518,136,
clauth.25848,0,0,
clauth.25853,0,0,
2.1.258.29582,0,0,
java.48551,0,0,
desktop.93868,0,0,
com.apple.WebKi.94041,0,0,
adb.10274,0,0,
java.55055,0,0,
Lark Helper.3422,0,0,
codex.4322,2635,32,
codex.28857,0,0,
2.1.259.13446,2073,0,
gh.37026,0,0,
gh.37027,0,0,
cloud-sql-proxy.38267,0,0,
Extension.42865,198,88,
,bytes_in,bytes_out,
kernel_task.0,2161807,5500907,
launchd.1,0,0,
syslogd.366,0,0,
apsd.372,0,0,
nesessionmanage.379,0,0,
dhcp6d.398,0,0,
mDNSResponder.417,1952,45,
airportd.425,0,0,
symptomsd.488,0,0,
lghub_updater.608,0,0,
O+Connect.655,0,0,
rapportd.656,0,0,
cloudd.657,0,0,
wifip2pd.661,0,0,
ControlCenter.663,0,0,
homed.679,0,0,
identityservice.687,0,0,
sharingd.698,0,0,
replicatord.734,0,0,
O+Connect Helpe.791,2529,0,
netbiosd.889,0,0,
O+Connect Servi.928,0,0,
node.998,56,60,
logioptionsplus.1002,0,0,
moshi-hook.1007,0,0,
postgres.1010,0,0,
bun.1019,0,0,
clash-verge.1023,0,0,
Blip.1028,0,0,
Notion.1049,0,0,
AutoMounter.1085,0,0,
Atoll.1115,0,0,
lghub_agent.1536,0,0,
Ollama.2232,0,0,
verge-mihomo.2322,0,0,
ollama.2381,0,0,
Notion Calendar.2432,0,0,
Adobe Desktop S.2608,0,0,
Creative Cloud .2637,0,0,
Slack Helper.2799,0,0,
Tailscale.3013,508,0,
IPNExtension.3407,207,1457,
Google Chrome H.7815,2684,99,
WeChat.85956,0,0,
